blueOpacity,orangeOpacity,corrAns,trials1.thisRepN,trials1.thisTrialN,trials1.thisN,trials1.thisIndex,instr1.started,instr1.stopped,trialBlue.started,trialBlue.stopped,trialOrange.started,trialOrange.stopped,trialFix.started,trialFix.stopped,trialResp.keys,trialResp.corr,trialResp.started,trialResp.stopped,trialResp.rt,participant,session,date,expName,psychopyVersion,frameRate,
0,1,None,0,0,0,0,35.228188100038096,None,46.88800809998065,None,46.88800809998065,None,45.89057129994035,46.902992099989206,None,1,46.88800809998065,None,,a,001,2020_Jun_21_1431,goNogoTest2,2020.1.3,60.46632840695599,
1,0,space,0,1,1,1,,,49.80018649995327,None,49.80018649995327,None,48.8215412000427,49.833536299993284,space,1,49.80018649995327,None,0.48500489990692586,a,001,2020_Jun_21_1431,goNogoTest2,2020.1.3,60.46632840695599,
1,0,space,0,2,2,2,,,51.300013400032185,None,51.300013400032185,None,50.30294089997187,51.31837929994799,space,1,51.300013400032185,None,0.5291925999335945,a,001,2020_Jun_21_1431,goNogoTest2,2020.1.3,60.46632840695599,
1,0,space,0,3,3,3,,,52.833275499986485,None,52.833275499986485,None,51.853342700051144,52.867368899984285,space,1,52.833275499986485,None,0.42760890000499785,a,001,2020_Jun_21_1431,goNogoTest2,2020.1.3,60.46632840695599,
1,0,space,0,4,4,4,,,54.26686580001842,None,54.26686580001842,None,53.28470019996166,54.3148720000172,space,1,54.26686580001842,None,0.4103114000754431,a,001,2020_Jun_21_1431,goNogoTest2,2020.1.3,60.46632840695599,
1,0,space,0,5,5,5,,,55.69921989995055,None,55.69921989995055,None,54.70330900000408,55.69921989995055,space,1,55.69921989995055,None,0.4257331999251619,a,001,2020_Jun_21_1431,goNogoTest2,2020.1.3,60.46632840695599,
0,1,None,0,6,6,6,,,57.13269899995066,None,57.13269899995066,None,56.15095769998152,57.16646239999682,None,1,57.13269899995066,None,,a,001,2020_Jun_21_1431,goNogoTest2,2020.1.3,60.46632840695599,
0,1,None,0,7,7,7,,,60.11500370001886,59.13238259998616,60.11500370001886,59.13238259998616,59.13238259998616,60.1323274000315,None,1,60.11500370001886,59.13238259998616,,a,001,2020_Jun_21_1431,goNogoTest2,2020.1.3,60.46632840695599,
1,0,space,0,8,8,8,,,63.09755890001543,62.11557080002967,63.09755890001543,62.11557080002967,62.11557080002967,63.1315895000007,space,1,63.09755890001543,62.11557080002967,0.3316805000649765,a,001,2020_Jun_21_1431,goNogoTest2,2020.1.3,60.46632840695599,
1,0,space,0,9,9,9,,,64.43031710002106,None,64.43031710002106,None,63.453492200002074,64.46413290000055,space,1,64.43031710002106,None,0.3343084000516683,a,001,2020_Jun_21_1431,goNogoTest2,2020.1.3,60.46632840695599,
